0 15000000 p@xx^xx-pau+m=i_xx%xx^00_00~00-1!1[xx$xx]xx/A:xx-xx-xx@xx~xx/B:1_1_1@xx|xx/C:2+1+1@JPN&0/D:xx!xx#xx$xx%xx|xx&xx;xx-xx/E:xx]xx^3=4/4~120!1@150#72+xx]1$2|0[20&0]96=0^100~xx#xx_xx;xx$xx&xx%xx[xx|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~xx+xx!xx^xx/F:E4#7#3-4/4$120$1+50%24;xx/G:xx_xx/H:xx_xx/I:16_16/J:3~3@1
15000000 20000000 c@xx^pau-m+i=y_xx%00^00_00~00-1!2[xx$1]xx/A:xx-xx-xx@xx~xx/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:xx!xx#xx$xx%xx|xx&xx;xx-xx/E:E4]7^3=4/4~120!1@50#24+xx]2$1|15[5&72]24=75^25~1#16_0;75$0&360%0[100|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~xx+p5!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
15000000 20000000 v@pau^m-i+y=a_00%00^00_00~00-2!1[xx$xx]xx/A:xx-xx-xx@xx~xx/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:xx!xx#xx$xx%xx|xx&xx;xx-xx/E:E4]7^3=4/4~120!1@50#24+xx]2$1|15[5&72]24=75^25~1#16_0;75$0&360%0[100|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~xx+p5!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
20000000 25000000 c@m^i-y+a=k_00%00^00_00~00-1!2[xx$1]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:E4!7#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]1$4|0[20&0]96=0^100~2#15_5;70$24&336%6[94|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~m5+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
20000000 25000000 v@i^y-a+k=o_00%00^00_00~00-2!1[xx$xx]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:E4!7#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]1$4|0[20&0]96=0^100~2#15_5;70$24&336%6[94|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~m5+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
25000000 30000000 c@y^a-k+o=n_00%00^00_00~00-1!2[xx$1]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]2$3|5[15&24]72=25^75~3#14_10;65$48&312%13[87|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
25000000 30000000 v@a^k-o+n=o_00%00^00_00~00-2!1[xx$xx]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]2$3|5[15&24]72=25^75~3#14_10;65$48&312%13[87|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
30000000 35000000 c@k^o-n+o=s_00%00^00_00~00-1!2[xx$1]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]3$2|10[10&48]48=50^50~4#13_15;60$72&288%20[80|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
30000000 35000000 v@o^n-o+s=e_00%00^00_00~00-2!1[xx$xx]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:2+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]3$2|10[10&48]48=50^50~4#13_15;60$72&288%20[80|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
35000000 40000000 c@n^o-s+e=i_00%00^00_00~00-1!2[xx$1]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:1+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]4$1|15[5&72]24=75^25~5#12_20;55$96&264%26[74|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
35000000 40000000 v@o^s-e+i=h_00%00^00_00~00-2!1[xx$xx]xx/A:2-1-1@JPN~0/B:2_1_1@JPN|0/C:1+1+1@JPN&0/D:A4!0#3$4/4%120|1&50;24-xx/E:A4]0^3=4/4~120!1@50#24+xx]4$1|15[5&72]24=75^25~5#12_20;55$96&264%26[74|0]0-n^xx+xx~xx=xx@xx$xx!xx%xx#xx|xx|xx-xx&xx&xx+xx[xx;xx]xx;xx~xx~xx^xx^xx@xx[xx#xx=xx!xx~p0+p0!xx^xx/F:A4#0#3-4/4$120$1+50%24;xx/G:xx_xx/H:16_16/I:xx_xx/J:3~3@1
